time,price,volume
2020-04-28 13:12:00,49500,29972
2020-04-28 13:11:00,49500,6089
2020-04-28 13:10:00,49550,6820
2020-04-28 13:09:00,49500,5081
2020-04-28 13:08:00,49500,11073
2020-04-28 13:07:00,49550,99887
2020-04-28 13:06:00,49550,17444
2020-04-28 13:05:00,49600,4161
2020-04-28 13:04:00,49600,85708
2020-04-28 13:03:00,49600,4919
2020-04-28 13:02:00,49650,4372
2020-04-28 13:01:00,49600,6777
2020-04-28 13:00:00,49600,3660
2020-04-28 12:59:00,49650,3506
2020-04-28 12:58:00,49650,4706
2020-04-28 12:57:00,49600,4475
2020-04-28 12:56:00,49600,3593
2020-04-28 12:55:00,49600,4203
2020-04-28 12:54:00,49650,2649
2020-04-28 12:53:00,49600,73744
2020-04-28 12:52:00,49700,5817
2020-04-28 12:51:00,49700,6753
2020-04-28 12:50:00,49700,3757
2020-04-28 12:49:00,49700,96544
2020-04-28 12:48:00,49600,4096
2020-04-28 12:47:00,49650,2245
2020-04-28 12:46:00,49600,2211
2020-04-28 12:45:00,49600,45730
2020-04-28 12:44:00,49550,13311
2020-04-28 12:43:00,49600,7353
2020-04-28 12:42:00,49550,7625
2020-04-28 12:41:00,49650,21165
2020-04-28 12:40:00,49600,15633
2020-04-28 12:39:00,49650,7689
2020-04-28 12:38:00,49600,6732
2020-04-28 12:37:00,49600,50649
2020-04-28 12:36:00,49700,4429
2020-04-28 12:35:00,49650,44938
2020-04-28 12:34:00,49650,3159
2020-04-28 12:33:00,49600,79156
2020-04-28 12:32:00,49550,4418
2020-04-28 12:31:00,49600,3146
2020-04-28 12:30:00,49550,3240
2020-04-28 12:29:00,49600,71833
2020-04-28 12:28:00,49550,4818
2020-04-28 12:27:00,49500,3492
2020-04-28 12:26:00,49500,7583
2020-04-28 12:25:00,49550,8476
2020-04-28 12:24:00,49500,3793
2020-04-28 12:23:00,49500,5340
2020-04-28 12:22:00,49500,2912
2020-04-28 12:21:00,49500,2511
2020-04-28 12:20:00,49550,2722
2020-04-28 12:19:00,49500,12181
2020-04-28 12:18:00,49500,3337
2020-04-28 12:17:00,49500,60968
2020-04-28 12:16:00,49550,2883
2020-04-28 12:15:00,49600,1891
2020-04-28 12:14:00,49600,3222
2020-04-28 12:13:00,49600,2586
2020-04-28 12:12:00,49600,13358
2020-04-28 12:11:00,49500,1515
2020-04-28 12:10:00,49500,2199
2020-04-28 12:09:00,49500,29942
2020-04-28 12:08:00,49550,59941
2020-04-28 12:07:00,49550,4827
2020-04-28 12:06:00,49500,69643
2020-04-28 12:05:00,49600,27114
2020-04-28 12:04:00,49550,61314
2020-04-28 12:03:00,49650,3966
2020-04-28 12:02:00,49600,3466
2020-04-28 12:01:00,49650,7962
2020-04-28 12:00:00,49650,108140
2020-04-28 11:59:00,49550,3986
2020-04-28 11:58:00,49550,4915
2020-04-28 11:57:00,49600,9324
